"utterance","intent","category","tags","tagalog","similarity","needs_review","human_corrected_tagalog"
"would it be possible to cancel the order I made?","cancel_order","ORDER","BIP","Posible kayang kanselahin ang utos na ginawa ko?","0.6798955202102661","True","pwede ba i-cancel yung order ko?"
"cancelling order","cancel_order","ORDER","BK","Kinakansela ang order","0.8682823181152344","False","cancel ko yung order"
"I need assistance canceling the last order I have made","cancel_order","ORDER","B","Kailangan ko ng tulong upang mapawalang - bisa ang huling utos na ginawa ko","0.4107653200626373","True","need ko assistance para ma-cancel yung order ko"
"problem with canceling the order I made","cancel_order","ORDER","B","problema sa pagkansela sa utos na ginawa ko","0.6748749017715454","True","may problem ako sa pag-cancel ng order ko"
"I don't know how to cancel the order I made","cancel_order","ORDER","B","Hindi ko alam kung paano kanselahin ang utos na ginawa ko","0.6610159873962402","True","hindi ko alam paano i-cancel yung order ko"
"can you help me cancel the order I made?","cancel_order","ORDER","BI","Matutulungan mo ba akong kanselahin ang utos na ginawa ko?","0.6519627571105957","True","pa-help naman i-cancel yung order ko"
"I would like to know about order cancellations","cancel_order","ORDER","BMP","Nais kong malaman ang tungkol sa mga pagkansela ng order","0.8714042901992798","False","gusto ko po know about order cancellations"
"could you help me cancelling an order?","cancel_order","ORDER","BIP","Matutulungan mo ba akong kanselahin ang isang utos?","0.7411633729934692","False","pa-help naman i-cancel yung order ko"
"I don't know how to cancel an order I made","cancel_order","ORDER","B","Hindi ko alam kung paano kanselahin ang isang utos na ginawa ko","0.6655961275100708","True","hindi ko alam paano i-cancel yung order ko"
"help me cancelling my last order","cancel_order","ORDER","B","ay tumutulong sa akin na kanselahin ang aking huling utos","0.6627967357635498","True","pa-help naman i-cancel yung order ko"
"I do not know how to cancel the last order I made","cancel_order","ORDER","BE","Hindi ko alam kung paano kanselahin ang huling utos na ginawa ko","0.6388261318206787","True","cancel ko yung order na ginawa ko"
"I need assistance with canceling an order I made","cancel_order","ORDER","B","Kailangan ko ng tulong sa pagkansela ng isang utos na ginawa ko","0.5408201813697815","True","need ko assistance para ma-cancel yung order ko"
"information about canceling an order","cancel_order","ORDER","B","tungkol sa pagkansela ng isang utos","0.6635233163833618","True","information about canceling an order"
"I would like to cancel an order","cancel_order","ORDER","BP","Nais kong kanselahin ang isang utos","0.7419668436050415","False","gusto ko po cancel an order"
"I need assistance with cancelling my orders","cancel_order","ORDER","BM","Kailangan ko ng tulong sa pagpapawalang - bisa sa aking mga utos","0.3076330423355102","True","need ko assistance para ma-cancel yung order ko"
"I need assistance with canceling the order I have made","cancel_order","ORDER","B","Kailangan ko ng tulong sa pagkansela sa utos na ginawa ko","0.5313938856124878","True","need ko assistance para ma-cancel yung order ko"
"assistance canceling the order I have made","cancel_order","ORDER","B","pagkansela sa utos na ginawa ko","0.4999656081199646","True","need ko assistance para ma-cancel yung order ko"
"question about cancelling the last order","cancel_order","ORDER","B","tungkol sa pagkansela sa huling order","0.8773269653320312","False","question about cancelling yung last order"
