utterance,intent,category,tags,tagalog,similarity,needs_review,human_corrected_tagalog
would it be possible to cancel the order I made?,cancel_order,ORDER,BIP,Posible kayang kanselahin ang utos na ginawa ko?,0.6798955202102661,True,
cancelling order,cancel_order,ORDER,BK,Kinakansela ang order,0.8682823181152344,False,
I need assistance canceling the last order I have made,cancel_order,ORDER,B,Kailangan ko ng tulong upang mapawalang - bisa ang huling utos na ginawa ko,0.4107653200626373,True,
problem with canceling the order I made,cancel_order,ORDER,B,problema sa pagkansela sa utos na ginawa ko,0.6748749017715454,True,
I don't know how to cancel the order I made,cancel_order,ORDER,B,Hindi ko alam kung paano kanselahin ang utos na ginawa ko,0.6610159873962402,True,
can you help me cancel the order I made?,cancel_order,ORDER,BI,Matutulungan mo ba akong kanselahin ang utos na ginawa ko?,0.6519627571105957,True,
I would like to know about order cancellations,cancel_order,ORDER,BMP,Nais kong malaman ang tungkol sa mga pagkansela ng order,0.8714042901992798,False,
could you help me cancelling an order?,cancel_order,ORDER,BIP,Matutulungan mo ba akong kanselahin ang isang utos?,0.7411633729934692,False,
I don't know how to cancel an order I made,cancel_order,ORDER,B,Hindi ko alam kung paano kanselahin ang isang utos na ginawa ko,0.6655961275100708,True,
help me cancelling my last order,cancel_order,ORDER,B,ay tumutulong sa akin na kanselahin ang aking huling utos,0.6627967357635498,True,
I do not know how to cancel the last order I made,cancel_order,ORDER,BE,Hindi ko alam kung paano kanselahin ang huling utos na ginawa ko,0.6388261318206787,True,
I need assistance with canceling an order I made,cancel_order,ORDER,B,Kailangan ko ng tulong sa pagkansela ng isang utos na ginawa ko,0.5408201813697815,True,
information about canceling an order,cancel_order,ORDER,B,tungkol sa pagkansela ng isang utos,0.6635233163833618,True,
I would like to cancel an order,cancel_order,ORDER,BP,Nais kong kanselahin ang isang utos,0.7419668436050415,False,
I need assistance with cancelling my orders,cancel_order,ORDER,BM,Kailangan ko ng tulong sa pagpapawalang - bisa sa aking mga utos,0.3076330423355102,True,
