utterance,intent,category,tags,tagalog
would it be possible to cancel the order I made?,cancel_order,ORDER,BIP,pwede ba i-cancel yung order ko?
cancelling order,cancel_order,ORDER,BK,cancel ko yung order
I need assistance canceling the last order I have made,cancel_order,ORDER,B,need ko assistance para ma-cancel yung order ko
problem with canceling the order I made,cancel_order,ORDER,B,may problem ako sa pag-cancel ng order ko
I don't know how to cancel the order I made,cancel_order,ORDER,B,hindi ko alam paano i-cancel yung order ko
can you help me cancel the order I made?,cancel_order,ORDER,BI,pa-help naman i-cancel yung order ko
I would like to know about order cancellations,cancel_order,ORDER,BMP,gusto ko po know about order cancellations
could you help me cancelling an order?,cancel_order,ORDER,BIP,pa-help naman i-cancel yung order ko
I don't know how to cancel an order I made,cancel_order,ORDER,B,hindi ko alam paano i-cancel yung order ko
help me cancelling my last order,cancel_order,ORDER,B,pa-help naman i-cancel yung order ko
I do not know how to cancel the last order I made,cancel_order,ORDER,BE,cancel ko yung order na ginawa ko
I need assistance with canceling an order I made,cancel_order,ORDER,B,need ko assistance para ma-cancel yung order ko
information about canceling an order,cancel_order,ORDER,B,information about canceling an order
I would like to cancel an order,cancel_order,ORDER,BP,gusto ko po cancel an order
I need assistance with cancelling my orders,cancel_order,ORDER,BM,need ko assistance para ma-cancel yung order ko
I need assistance with canceling the order I have made,cancel_order,ORDER,B,need ko assistance para ma-cancel yung order ko
assistance canceling the order I have made,cancel_order,ORDER,B,need ko assistance para ma-cancel yung order ko
question about cancelling the last order,cancel_order,ORDER,B,question about cancelling yung last order
help me to cancel my last order,cancel_order,ORDER,B,pa-help naman i-cancel yung order ko
problem with cancelling orders,cancel_order,ORDER,BM,may problem ako sa pag-cancel ng order ko
problems with cancelling an order,cancel_order,ORDER,BM,may problem ako sa pag-cancel ng order ko
assistance with cancelling the order I made,cancel_order,ORDER,B,need ko assistance para ma-cancel yung order ko
I need help with cancelling an order I have made,cancel_order,ORDER,B,kailangan ko ng Help to cancel yung Order na na-place ko.
I have problems with cancelling my order,cancel_order,ORDER,BM,may problem ako sa pag-cancel ng order ko
I do not want to pay for the order I made,cancel_order,ORDER,BE,I do not want to pay for yung order I made
I have a problem with cancelling orders,cancel_order,ORDER,BM,may problem ako sa pag-cancel ng order ko
problems with canceling orders,cancel_order,ORDER,BM,may problem ako sa pag-cancel ng order ko
where can I get information about canceling orders?,cancel_order,ORDER,BIM,where can i get information about canceling orders?
I want assistance cancelling an order I have made,cancel_order,ORDER,B,need ko assistance para ma-cancel yung order ko
cancel order,cancel_order,ORDER,BK,cancel ng order
find information about order cancelations,cancel_order,ORDER,BM,find information about order cancelations
can you give me information about cancelling orders?,cancel_order,ORDER,BIM,cancel ko yung order
I have a question about cancelling my last order,cancel_order,ORDER,B,i have a question about cancelling yung last order
I don't know how to cancel my last order,cancel_order,ORDER,B,hindi ko alam paano i-cancel yung order ko
I have problems with canceling my last order,cancel_order,ORDER,BM,may problem ako sa pag-cancel ng order ko
problem with cancelling an order I have made,cancel_order,ORDER,B,may problem ako sa pag-cancel ng order ko
I need help with canceling the last order I made,cancel_order,ORDER,B,need ko po help ma-cancel order ko
how can I find information about cancelling orders?,cancel_order,ORDER,BIM,cancel ko yung order
I want to know more about order cancelations,cancel_order,ORDER,BM,gusto ko po know more about order cancelations
I want help to cancel an order I have made,cancel_order,ORDER,B,pa-help naman i-cancel yung order ko
I want assistance canceling an order,cancel_order,ORDER,B,need ko assistance para ma-cancel yung order ko
can you help me to cancel the last order I have made?,cancel_order,ORDER,BI,pa-help naman i-cancel yung order ko
give me information about cancelling orders,cancel_order,ORDER,BM,cancel ko yung order
help cancelling my order,cancel_order,ORDER,B,pa-help naman i-cancel yung order ko
I have a question about canceling my order,cancel_order,ORDER,B,I have a question about canceling order ko
help me canceling my last order,cancel_order,ORDER,B,pa-help naman i-cancel yung order ko
would it be possible to cancel my order?,cancel_order,ORDER,BIP,i-cancel ko yung order ko
where could I get information about cancelling an order?,cancel_order,ORDER,BIP,where could i get information about cancelling an order?
could you help me cancelling an order I made?,cancel_order,ORDER,BIP,pa-help naman i-cancel yung order ko
where can I get information about canceling an order?,cancel_order,ORDER,BI,where can i get information about canceling an order?
I have to cancel my last order,cancel_order,ORDER,B,i have to cancel yung last order
question about canceling my order,cancel_order,ORDER,B,question about canceling order ko
assistance cancelling my order,cancel_order,ORDER,B,need ko assistance para ma-cancel yung order ko
I have problems with canceling the order I have made,cancel_order,ORDER,BM,may problem ako sa pag-cancel ng order ko
help canceling the last order,cancel_order,ORDER,B,pa-help naman i-cancel yung order ko
help canceling an order,cancel_order,ORDER,B,pa-help naman i-cancel yung order ko
I try to cancel the order I made,cancel_order,ORDER,B,cancel ko yung order na ginawa ko
I need to cancel my order,cancel_order,ORDER,B,i-cancel ko yung order ko
could you help me cancelling the last order I made?,cancel_order,ORDER,BIP,pa-help naman i-cancel yung order ko
where could I cancel the order I made?,cancel_order,ORDER,BIP,cancel ko yung order na ginawa ko
I don't know how I could cancel an order I have made,cancel_order,ORDER,BP,hindi ko alam paano i-cancel yung order ko
I have problems with cancelling the last order I made,cancel_order,ORDER,BM,may problem ako sa pag-cancel ng order ko
help me to cancel an order I have made,cancel_order,ORDER,B,pa-help naman i-cancel yung order ko
I am trying to find information about order cancelations,cancel_order,ORDER,BEM,i am trying to find information about order cancelations
where can I cancel my order?,cancel_order,ORDER,BI,i-cancel ko yung order ko
I need assistance canceling the order I made,cancel_order,ORDER,B,need ko assistance para ma-cancel yung order ko
would it be possible to cancel the last order I have made?,cancel_order,ORDER,BIP,pwede ba i-cancel yung order ko?
I have a question about canceling the last order,cancel_order,ORDER,B,i have a question about canceling yung last order
I need help to cancel the order I made,cancel_order,ORDER,B,need ko po help ma-cancel order ko
I do not know how I could cancel an order,cancel_order,ORDER,BEP,i do not know how i could cancel an order
cancel an order I have made,cancel_order,ORDER,B,cancel ko yung order na ginawa ko
help with cancelling the order I have made,cancel_order,ORDER,B,pa-help naman i-cancel yung order ko
I can't pay for the order I have made,cancel_order,ORDER,B,I can't pay for yung order I have made
I can't pay for the order,cancel_order,ORDER,B,I can't pay for yung order
I need help cancelling an order I made,cancel_order,ORDER,B,need ko po help ma-cancel order ko
would you give me information about canceling orders?,cancel_order,ORDER,BIMP,would you give me information about canceling orders?
help me canceling the last order I have made,cancel_order,ORDER,B,pa-help naman i-cancel yung order ko
I am looking for information about order cancelations,cancel_order,ORDER,BEM,i am looking for information about order cancelations
I don't know how I can cancel the last order I have made,cancel_order,ORDER,B,hindi ko alam paano i-cancel yung order ko
how could I cancel the last order I have made?,cancel_order,ORDER,BIP,cancel ko yung order na ginawa ko
is it possible to cancel my order?,cancel_order,ORDER,BI,i-cancel ko yung order ko
help cancelling the last order I have made,cancel_order,ORDER,B,pa-help naman i-cancel yung order ko
I have a question about canceling orders,cancel_order,ORDER,BM,i have a question about canceling orders
how to cancel the last order I have made?,cancel_order,ORDER,BI,cancel ko yung order na ginawa ko
I don't want an order I have made,cancel_order,ORDER,B,i don't want an order i have made
I have a question about cancelling my order,cancel_order,ORDER,B,I have a question about cancelling order ko
how could I cancel an order I made?,cancel_order,ORDER,BIP,cancel ko yung order na ginawa ko
I want help cancelling an order I have made,cancel_order,ORDER,B,pa-help naman i-cancel yung order ko
I have problems with cancelling the order I have made,cancel_order,ORDER,BM,may problem ako sa pag-cancel ng order ko
how do I cancel my order?,cancel_order,ORDER,BI,paano ko po ma-ccancel order ko?
could you help me to cancel my last order?,cancel_order,ORDER,BIP,pa-help naman i-cancel yung order ko
can you help me cancel my last order?,cancel_order,ORDER,BI,pa-help naman i-cancel yung order ko
I do not want to pay for an order I made,cancel_order,ORDER,BE,i do not want to pay for an order i made
assistance cancelling the last order,cancel_order,ORDER,B,need ko assistance para ma-cancel yung order ko
assistance cancelling an order I made,cancel_order,ORDER,B,need ko assistance para ma-cancel yung order ko
help with canceling the order I have made,cancel_order,ORDER,B,pa-help naman i-cancel yung order ko
would you give me information about order cancelations?,cancel_order,ORDER,BIMP,would you give me information about order cancelations?
where could I cancel the last order?,cancel_order,ORDER,BIP,where could i cancel yung last order?
I need help to cancel the last order I have made,cancel_order,ORDER,B,need ko po help ma-cancel order ko
will you give me information about canceling an order?,cancel_order,ORDER,BIP,will you give me information about canceling an order?
how can I cancel an order I made?,cancel_order,ORDER,BI,cancel ko yung order na ginawa ko
can you help me cancelling the order I made?,cancel_order,ORDER,BI,pa-help naman i-cancel yung order ko
how can I find information about canceling orders?,cancel_order,ORDER,BIM,how can i find information about canceling orders?
I have problems with cancelling an order I have made,cancel_order,ORDER,BM,may problem ako sa pag-cancel ng order ko
help with canceling the order I made,cancel_order,ORDER,B,pa-help naman i-cancel yung order ko
I can't pay for the last order I have made,cancel_order,ORDER,B,i can't pay for yung last order i have made
assistance with cancelling the order I have made,cancel_order,ORDER,B,need ko assistance para ma-cancel yung order ko
help to cancel an order I made,cancel_order,ORDER,B,pa-help naman i-cancel yung order ko
question about canceling my orders,cancel_order,ORDER,BM,question about canceling yung orders
I have a problem with cancelling my last order,cancel_order,ORDER,B,may problem ako sa pag-cancel ng order ko
I need help canceling my order,cancel_order,ORDER,B,need ko po help ma-cancel order ko
where could I cancel an order I made?,cancel_order,ORDER,BIP,cancel ko yung order na ginawa ko
assistance cancelling the last order I made,cancel_order,ORDER,B,need ko assistance para ma-cancel yung order ko
could you give me information about cancelling orders?,cancel_order,ORDER,BIMP,cancel ko yung order
could you help me canceling the order I have made?,cancel_order,ORDER,BIP,pa-help naman i-cancel yung order ko
assistance cancelling the order I made,cancel_order,ORDER,B,need ko assistance para ma-cancel yung order ko
help with canceling an order I made,cancel_order,ORDER,B,pa-help naman i-cancel yung order ko
