utterance,intent,category,tags,tagalog
would it be possible to cancel the order I made?,cancel_order,ORDER,BIP,Posible kayang kanselahin ang utos na ginawa ko?
cancelling order,cancel_order,ORDER,BK,Kinakansela ang order
I need assistance canceling the last order I have made,cancel_order,ORDER,B,Kailangan ko ng tulong upang mapawalang - bisa ang huling utos na ginawa ko
problem with canceling the order I made,cancel_order,ORDER,B,problema sa pagkansela sa utos na ginawa ko
I don't know how to cancel the order I made,cancel_order,ORDER,B,Hindi ko alam kung paano kanselahin ang utos na ginawa ko
can you help me cancel the order I made?,cancel_order,ORDER,BI,Matutulungan mo ba akong kanselahin ang utos na ginawa ko?
I would like to know about order cancellations,cancel_order,ORDER,BMP,Nais kong malaman ang tungkol sa mga pagkansela ng order
could you help me cancelling an order?,cancel_order,ORDER,BIP,Matutulungan mo ba akong kanselahin ang isang utos?
I don't know how to cancel an order I made,cancel_order,ORDER,B,Hindi ko alam kung paano kanselahin ang isang utos na ginawa ko
help me cancelling my last order,cancel_order,ORDER,B,ay tumutulong sa akin na kanselahin ang aking huling utos
I do not know how to cancel the last order I made,cancel_order,ORDER,BE,Hindi ko alam kung paano kanselahin ang huling utos na ginawa ko
I need assistance with canceling an order I made,cancel_order,ORDER,B,Kailangan ko ng tulong sa pagkansela ng isang utos na ginawa ko
information about canceling an order,cancel_order,ORDER,B,tungkol sa pagkansela ng isang utos
I would like to cancel an order,cancel_order,ORDER,BP,Nais kong kanselahin ang isang utos
I need assistance with cancelling my orders,cancel_order,ORDER,BM,Kailangan ko ng tulong sa pagpapawalang - bisa sa aking mga utos
I need assistance with canceling the order I have made,cancel_order,ORDER,B,Kailangan ko ng tulong sa pagkansela sa utos na ginawa ko
assistance canceling the order I have made,cancel_order,ORDER,B,pagkansela sa utos na ginawa ko
question about cancelling the last order,cancel_order,ORDER,B,tungkol sa pagkansela sa huling order
help me to cancel my last order,cancel_order,ORDER,B,ay tumutulong sa akin na kanselahin ang aking huling utos
problem with cancelling orders,cancel_order,ORDER,BM,problema sa pagkansela ng mga order
problems with cancelling an order,cancel_order,ORDER,BM,problema sa pagkansela ng isang utos
assistance with cancelling the order I made,cancel_order,ORDER,B,sa pagkansela sa utos na ginawa ko
I need help with cancelling an order I have made,cancel_order,ORDER,B,Kailangan ko ng tulong sa pagkansela ng isang utos na ginawa ko
I have problems with cancelling my order,cancel_order,ORDER,BM,May problema ako sa pagpapawalang - bisa sa aking utos
I do not want to pay for the order I made,cancel_order,ORDER,BE,Ayaw kong bayaran ang utos na ginawa ko
I have a problem with cancelling orders,cancel_order,ORDER,BM,Problema ko ang pagkansela ng mga order
problems with canceling orders,cancel_order,ORDER,BM,problema sa pagkansela ng mga order
where can I get information about canceling orders?,cancel_order,ORDER,BIM,Saan ako makakakuha ng impormasyon tungkol sa pagkansela ng mga utos?
I want assistance cancelling an order I have made,cancel_order,ORDER,B,Nais ko ng tulong upang kanselahin ang isang utos na ginawa ko
cancel order,cancel_order,ORDER,BK,kinansela ang order
find information about order cancelations,cancel_order,ORDER,BM,hinggil sa pagkansela ng order
can you give me information about cancelling orders?,cancel_order,ORDER,BIM,Makapagbibigay ka ba sa akin ng impormasyon tungkol sa pagkansela ng mga utos?
I have a question about cancelling my last order,cancel_order,ORDER,B,May tanong ako tungkol sa pagpapawalang - bisa sa aking huling utos
I don't know how to cancel my last order,cancel_order,ORDER,B,Hindi ko alam kung paano kanselahin ang aking huling order
I have problems with canceling my last order,cancel_order,ORDER,BM,May problema ako sa pagpapawalang - bisa sa aking huling utos
problem with cancelling an order I have made,cancel_order,ORDER,B,problema sa pagkansela ng isang utos na ginawa ko
I need help with canceling the last order I made,cancel_order,ORDER,B,Kailangan ko ng tulong sa pagkansela sa huling utos na ginawa ko
how can I find information about cancelling orders?,cancel_order,ORDER,BIM,paano ako makasusumpong ng impormasyon tungkol sa pagkansela ng mga order?
I want to know more about order cancelations,cancel_order,ORDER,BM,Gusto kong malaman ang higit pa tungkol sa mga pagkansela ng order
I want help to cancel an order I have made,cancel_order,ORDER,B,Nais ko ng tulong upang kanselahin ang isang utos na ginawa ko
I want assistance canceling an order,cancel_order,ORDER,B,Nais ko ng tulong upang kanselahin ang isang utos
can you help me to cancel the last order I have made?,cancel_order,ORDER,BI,Matutulungan mo ba akong kanselahin ang huling utos na ginawa ko?
give me information about cancelling orders,cancel_order,ORDER,BM,bigyan ako ng impormasyon tungkol sa pagkansela ng mga order
help cancelling my order,cancel_order,ORDER,B,ay nagkansela ng aking utos
I have a question about canceling my order,cancel_order,ORDER,B,May tanong ako tungkol sa pagpapawalang - bisa sa aking utos
help me canceling my last order,cancel_order,ORDER,B,ay tumutulong sa akin na kanselahin ang aking huling utos
would it be possible to cancel my order?,cancel_order,ORDER,BIP,Posible kayang kanselahin ang aking utos?
where could I get information about cancelling an order?,cancel_order,ORDER,BIP,Saan ako makakakuha ng impormasyon tungkol sa pagkansela ng isang utos?
could you help me cancelling an order I made?,cancel_order,ORDER,BIP,Matutulungan mo ba akong kanselahin ang utos na ginawa ko?
where can I get information about canceling an order?,cancel_order,ORDER,BI,Saan ako makakakuha ng impormasyon tungkol sa pagkansela ng isang utos?
I have to cancel my last order,cancel_order,ORDER,B,Kailangan kong kanselahin ang aking huling order
question about canceling my order,cancel_order,ORDER,B,tungkol sa pagkansela sa aking utos
assistance cancelling my order,cancel_order,ORDER,B,sa pagkansela ng aking utos
I have problems with canceling the order I have made,cancel_order,ORDER,BM,May problema ako sa pagpapawalang - bisa sa utos na ginawa ko
help canceling the last order,cancel_order,ORDER,B,ay tumutulong sa pagkansela ng huling order
help canceling an order,cancel_order,ORDER,B,ay tumutulong sa pagkansela ng isang utos
I try to cancel the order I made,cancel_order,ORDER,B,Sinisikap kong kanselahin ang utos na ginawa ko
I need to cancel my order,cancel_order,ORDER,B,Kailangan kong kanselahin ang utos ko
could you help me cancelling the last order I made?,cancel_order,ORDER,BIP,Matutulungan mo ba akong kanselahin ang huling utos na ginawa ko?
where could I cancel the order I made?,cancel_order,ORDER,BIP,Saan ko maaaring kanselahin ang utos na ginawa ko?
I don't know how I could cancel an order I have made,cancel_order,ORDER,BP,Hindi ko alam kung paano ko maaaring kanselahin ang isang utos na ginawa ko
I have problems with cancelling the last order I made,cancel_order,ORDER,BM,May problema ako sa pagpapawalang - bisa sa huling utos na ginawa ko
help me to cancel an order I have made,cancel_order,ORDER,B,ay tumutulong sa akin na kanselahin ang isang utos na ginawa ko
I am trying to find information about order cancelations,cancel_order,ORDER,BEM,Sinisikap kong hanapin ang impormasyon tungkol sa mga pagkansela ng order
where can I cancel my order?,cancel_order,ORDER,BI,saan ko maaaring kanselahin ang aking utos?
I need assistance canceling the order I made,cancel_order,ORDER,B,Kailangan ko ng tulong upang mapawalang - bisa ang utos na ginawa ko
would it be possible to cancel the last order I have made?,cancel_order,ORDER,BIP,Posible kayang kanselahin ang huling utos na ginawa ko?
I have a question about canceling the last order,cancel_order,ORDER,B,May tanong ako tungkol sa pagkansela sa huling order
I need help to cancel the order I made,cancel_order,ORDER,B,Kailangan ko ng tulong upang kanselahin ang utos na ginawa ko
